super_opeid,opeid,institution_name,superopeid_name,multi
-1,1871,IOWA WESLEYAN COLLEGE,COLLEGES WITH INSUFFICIENT DATA,1
-1,1894,VENNARD COLLEGE,COLLEGES WITH INSUFFICIENT DATA,1
-1,1905,BETHEL COLLEGE,COLLEGES WITH INSUFFICIENT DATA,1
-1,1908,CENTRAL CHRISTIAN COLLEGE OF KANSAS,COLLEGES WITH INSUFFICIENT DATA,1
-1,1914,DONNELLY COLLEGE,COLLEGES WITH INSUFFICIENT DATA,1
-1,1917,BARCLAY COLLEGE,COLLEGES WITH INSUFFICIENT DATA,1
-1,1931,MANHATTAN CHRISTIAN COLLEGE,COLLEGES WITH INSUFFICIENT DATA,1
-1,1943,UNIVERSITY OF SAINT MARY,COLLEGES WITH INSUFFICIENT DATA,1
-1,1951,ALICE LLOYD COLLEGE,COLLEGES WITH INSUFFICIENT DATA,1
-1,1953,,COLLEGES WITH INSUFFICIENT DATA,1
-1,1955,BEREA COLLEGE,COLLEGES WITH INSUFFICIENT DATA,1
-1,1958,BRESCIA UNIVERSITY,COLLEGES WITH INSUFFICIENT DATA,1
-1,1960,SPALDING UNIVERSITY,COLLEGES WITH INSUFFICIENT DATA,1
-1,1975,MIDWAY COLLEGE,COLLEGES WITH INSUFFICIENT DATA,1
-1,1982,,COLLEGES WITH INSUFFICIENT DATA,1
-1,2014,LOUISIANA STATE UNIVERSITY HEALTH SCIENCES CENTER,COLLEGES WITH INSUFFICIENT DATA,1
-1,2019,,COLLEGES WITH INSUFFICIENT DATA,1
-1,2034,MID STATE COLLEGE,COLLEGES WITH INSUFFICIENT DATA,1
-1,2035,BANGOR THEOLOGICAL SEMINARY,COLLEGES WITH INSUFFICIENT DATA,1
-1,2087,NER ISRAEL RABBINICAL COLLEGE,COLLEGES WITH INSUFFICIENT DATA,1
-1,2093,SAINT JOHN'S COLLEGE,COLLEGES WITH INSUFFICIENT DATA,1
-1,2119,ATLANTIC UNION COLLEGE,COLLEGES WITH INSUFFICIENT DATA,1
-1,2129,BOSTON CONSERVATORY,COLLEGES WITH INSUFFICIENT DATA,1
-1,2154,HELLENIC COLLEGE & HOLY CROSS GREEK ORTHODOX SCHOOL OF THEOLOGY,COLLEGES WITH INSUFFICIENT DATA,1
-1,2157,HEBREW COLLEGE,COLLEGES WITH INSUFFICIENT DATA,1
-1,2194,NEW ENGLAND CONSERVATORY OF MUSIC,COLLEGES WITH INSUFFICIENT DATA,1
-1,2201,PINE MANOR COLLEGE,COLLEGES WITH INSUFFICIENT DATA,1
-1,2214,SAINT JOHN'S SEMINARY,COLLEGES WITH INSUFFICIENT DATA,1
-1,2246,CLEARY UNIVERSITY,COLLEGES WITH INSUFFICIENT DATA,1
-1,2247,CONCORDIA UNIVERSITY,COLLEGES WITH INSUFFICIENT DATA,1
-1,2252,WILLIAM TYNDALE COLLEGE,COLLEGES WITH INSUFFICIENT DATA,1
-1,2253,DAVENPORT UNIVERSITY - EASTERN REGION,COLLEGES WITH INSUFFICIENT DATA,1
-1,2265,GRACE BIBLE COLLEGE,COLLEGES WITH INSUFFICIENT DATA,1
-1,2269,GREAT LAKES CHRISTIAN COLLEGE,COLLEGES WITH INSUFFICIENT DATA,1
-1,2284,MARYGROVE COLLEGE,COLLEGES WITH INSUFFICIENT DATA,1
-1,2288,ROCHESTER COLLEGE,COLLEGES WITH INSUFFICIENT DATA,1
-1,2311,KUYPER COLLEGE,COLLEGES WITH INSUFFICIENT DATA,1
